ID,URL,Name,Make,Day/Night,Environment,ShotType,Date,No_of_faces,Captions,Action,Location
PXL_20230521_084729018.jpg,https://drive.google.com/file/d/1ZuvFHROjMFInOxhnk0nmQGpcfGxkkzrg/view?usp=drivesdk,Mitchell Santner,Google,day,outdoor,close,21/05/2023,1,"['some men walking to their hotel with luggage', 'the men are at the entrance of the hotel and waiting', 'two men in yellow shirts carrying suitcases through the steps']",posing,Chennai
CSK Practice-96.jpg,https://drive.google.com/file/d/1qz3YsiO9dXRKZQjZRBMLez3_rJ1-VNLa/view?usp=drivesdk,Nishant Sindhu,Fujifilm,night,outdoor,close,8/5/2023,1,"['a man is holding a bat while wearing a catchers uniform', 'man wearing protective blue cricketball uniform and helmet', 'a cricketball player in his helmet and catchers gear']",walking,Chennai
CSK Practice-94.jpg,https://drive.google.com/file/d/1uLtxunSOcALU35bjg4xeQOxjT-r22KT_/view?usp=drivesdk,Nishant Sindhu,Fujifilm,night,outdoor,close,8/5/2023,1,"['a catcher standing at the batters box on the field', 'a cricketball player holding a bat during a game', 'a cricketball player is posed by his batting gloves']",playing,Chennai
CSK Practice-8.jpg,https://drive.google.com/file/d/1F7iFaaa_xUF-tiadcud-BZATlKR4XBmN/view?usp=drivesdk,Moeen Ali,Fujifilm,day,outdoor,close,8/5/2023,1,"['a young man holding a yellow bat and wearing a batting helmet', 'a person with a helmet holding a bat', 'the man is wearing his cricketball gear while standing by his bat']",playing,Chennai
CSK Practice-75.jpg,https://drive.google.com/file/d/14Yxq3asS35aUebCnhOednDzkL0cQAGhV/view?usp=drivesdk,Ajay Mandal,Fujifilm,night,outdoor,close,8/5/2023,1,"['a man on a field wearing a blue and yellow uniform', 'a man stands on a field wearing a yellow and blue jersey', 'a man stands near his own team mates as they prepare for their game']",bowling,Chennai
CSK Practice-7.jpg,https://drive.google.com/file/d/17rZXQ2H9kw9wjTu0_zdt65_5hqglyaDA/view?usp=drivesdk,Moeen Ali,Fujifilm,day,outdoor,close,8/5/2023,1,"['a cricketball player in a uniform is posed with a bat', 'a man wearing yellow gloves holding a cricketball bat and bat', 'a person in a costume is holding a bat']",batting,Chennai
CSK Practice-6.jpg,https://drive.google.com/file/d/1SzJ98BIbz0UYrZyrBDZvpRruVlMhmnB8/view?usp=drivesdk,Moeen Ali,Fujifilm,day,outdoor,close,8/5/2023,1,"['a cricketball player holding a bat standing on top of a field', 'a man in blue and yellow batting uniform holding a bat', 'a man batting during a cricketball game with a bat']",batting,Chennai
CSK Practice-47.jpg,https://drive.google.com/file/d/1C-bYYBGfBmTeyPdmRyvxOL2bQYmwxbnH/view?usp=drivesdk,Ben Stokes,Fujifilm,night,outdoor,close,8/5/2023,1,"['a man with a cricketball glove on stands near an infield', 'a man holding a cricket bat and ball', 'the player looks on from his batting cage']",batting,Chennai
CSK Practice-40.jpg,https://drive.google.com/file/d/1ryD0L4TnIEkcs3_98igrBUp1ckA3sHxh/view?usp=drivesdk,Moeen Ali,Fujifilm,night,outdoor,close,8/5/2023,1,"['the man is in batting gear looking into the distance', 'a man holding a cricketball bat near a cricketball field', 'a man standing in front of an empty cricketball cage']",walking,Chennai
CSK Practice-35.jpg,https://drive.google.com/file/d/1raYrubt06GtjGjn0gWUL4NoneU_QjFHL/view?usp=drivesdk,Moeen Ali,Fujifilm,night,outdoor,close,8/5/2023,1,"['a person on a field leaning against a pole', 'a man leaning against a pole at a cricketball field', 'a cricketball player leaning against the edge of a batting cage']",walking,Chennai
